A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,200,750,1,4.0,1.1514749539999998,0.0,0.166168848,0.347729448,0.301073091,0.25512105,0.282534866
50,200,750,1,2.25,1.076765172,0.0,0.1543413138,0.3719580819999999,0.289296234,0.2457309629999999,0.290870607
50,200,750,1,1.565,1.051676207,0.006,0.147680507,0.381635963,0.282203108,0.238621252,0.2993552479999999
50,200,750,1,1.2,1.003716603,0.005,0.1403278041,0.397152173,0.273141655,0.232759294,0.311635038
50,200,750,1,0.973,0.983996434,0.01,0.1371327624,0.403563102,0.2670350669999999,0.232921939,0.309832444
50,200,750,1,0.818,0.97861916,0.01,0.1360238163,0.405882042,0.2684042899999999,0.2300008409999999,0.315394635
50,200,750,1,0.706,0.96341962,0.012,0.1312611445,0.412267386,0.257502336,0.229062154,0.319612706
50,200,750,1,0.621,0.6323266842,0.589,0.1382713347,0.47811801,0.329034442,0.1882495634,0.380605978
50,200,750,2,4.0,1.1416078669999998,0.0,0.1635284761,0.3526049599999999,0.301080422,0.2528504889999999,0.284753326
50,200,750,2,2.25,1.07288322,0.001,0.1555197238,0.373385575,0.289520149,0.243011927,0.292326991
50,200,750,2,1.565,1.038757252,0.001,0.1449915274,0.386050007,0.2818807499999999,0.237928843,0.298050074
50,200,750,2,1.2,1.023976802,0.001,0.1392223239,0.393760083,0.271425127,0.234722344,0.306750506
50,200,750,2,0.973,0.992632091,0.01,0.1385300299,0.401533845,0.266455125,0.232670994,0.3086907199999999
50,200,750,2,0.818,0.966974159,0.01,0.1336534191,0.408885762,0.266915953,0.230299566,0.314412122
50,200,750,2,0.706,0.9451608036,0.016,0.1321529209,0.415096003,0.2578011386,0.226347063,0.319651935
50,200,750,2,0.621,0.6359667838999999,0.746,0.128352449,0.4863134119999999,0.3386334379999999,0.211509408,0.3539445039999999
50,200,750,3,4.0,1.1597516250000002,0.0,0.1650199995,0.3470913759999999,0.301995059,0.255731822,0.282507205
50,200,750,3,2.25,1.090784177,0.001,0.1546208148,0.370399131,0.293036849,0.244617811,0.2927874749999999
50,200,750,3,1.565,1.046963598,0.001,0.1467958634999999,0.384006916,0.279030163,0.239510128,0.2980783219999999
50,200,750,3,1.2,1.012380627,0.003,0.1409117517,0.394853342,0.274030385,0.2340915449999999,0.304454543
50,200,750,3,0.973,0.976497692,0.009,0.1372925766,0.4061385349999999,0.265280345,0.232870078,0.31050626
50,200,750,3,0.818,0.956187579,0.019,0.1341544662,0.411615594,0.2609795159999999,0.229000781,0.315327568
50,200,750,3,0.706,0.5887055304999999,0.663,0.1390820918999999,0.486340637,0.339125578,0.2111870945,0.3596578619999999
50,200,750,3,0.621,0.5650397441,0.696,0.1401407954,0.490872197,0.338009019,0.1986167035,0.372965738
50,200,750,4,4.0,1.151345601,0.0,0.1633661884999999,0.349892763,0.300977919,0.254429264,0.282495447
50,200,750,4,2.25,1.0775341910000005,0.0,0.1549500352,0.372142805,0.289881742,0.24351674,0.293369673
50,200,750,4,1.565,1.0635184139999998,0.002,0.1469267156,0.380141126,0.283792281,0.23936899,0.29897706
50,200,750,4,1.2,1.0235949009999998,0.005,0.1429157179999999,0.392178823,0.2732508309999999,0.2364889399999999,0.304224218
50,200,750,4,0.973,0.982738174,0.009,0.1388380930999999,0.4033368719999999,0.268627152,0.229679707,0.312808066
